,Unnamed: 0.1,Unnamed: 0,id,condition,block,trial,stimA,stimB,choice,rt,age,gender,familiarity,familiarity_health,uniqueness_1,uniqueness_2,uniqueness_3,uniqueness_4,anxiety_1,anxiety_2,anxiety_3,anxiety_4
15,15,0.0,,2,citrus,15,stimuli/citrus/5.png,stimuli/citrus/ref_image.jpg,k,0.8655404999999519,19,female,1,2,1,1,7,1,6,3,3,6
16,16,0.0,,2,dog1,0,stimuli/dogs/dog8.png,stimuli/dogs/dog6.png,d,1.8018706000000293,19,female,1,2,1,1,7,1,6,3,3,6
17,17,0.0,,2,dog1,1,stimuli/dogs/dog5.png,stimuli/dogs/dog8.png,k,0.9571776999998747,19,female,1,2,1,1,7,1,6,3,3,6
18,18,0.0,,2,dog1,2,stimuli/dogs/dog1.png,stimuli/dogs/dog2.png,k,2.0042124000001422,19,female,1,2,1,1,7,1,6,3,3,6
19,19,0.0,,2,dog1,3,stimuli/dogs/dog7.png,stimuli/dogs/dog4.png,d,2.189171500000157,19,female,1,2,1,1,7,1,6,3,3,6
20,20,0.0,,2,dog1,4,stimuli/dogs/dog2.png,stimuli/dogs/dog5.png,k,1.1132546000001184,19,female,1,2,1,1,7,1,6,3,3,6
21,21,0.0,,2,dog1,5,stimuli/dogs/dog2.png,stimuli/dogs/dog6.png,k,0.8795431999999437,19,female,1,2,1,1,7,1,6,3,3,6
22,22,0.0,,2,dog1,6,stimuli/dogs/dog2.png,stimuli/dogs/dog7.png,k,0.9738463000001047,19,female,1,2,1,1,7,1,6,3,3,6
23,23,0.0,,2,dog1,7,stimuli/dogs/dog4.png,stimuli/dogs/dog3.png,timeout,4,19,female,1,2,1,1,7,1,6,3,3,6
24,24,0.0,,2,dog1,8,stimuli/dogs/dog1.png,stimuli/dogs/dog5.png,k,1.2973492000000988,19,female,1,2,1,1,7,1,6,3,3,6
25,25,0.0,,2,dog1,9,stimuli/dogs/dog8.png,stimuli/dogs/dog1.png,d,0.9604977999999846,19,female,1,2,1,1,7,1,6,3,3,6
26,26,0.0,,2,dog1,10,stimuli/dogs/dog5.png,stimuli/dogs/dog3.png,timeout,4,19,female,1,2,1,1,7,1,6,3,3,6
